"key","en"
"ionLabel_date","Date"
"ionLabel_generalQuestions","General Questions"
"ionLabel_selectObservationType","Select a observation Type"
"ionLabel_selectSolution","Select a Solution"
"ionLabel_selectSchool","Select Schools"
"actionSheet_confirmLeave","Are you sure to leave."
"actionSheet_saveCurrentDataConfirmation","Old details will be lost ? Are you sure to overwrite the details"
"actionSheet_edit","Edit"
"actionSheet_delete","Delete"
"actionSheet_confirm","Confirm"
"actionSheet_completeobservation","Are you sure to mark this observation as complete?"
"actionSheet_deleteEntity","Are you sure to remove the entity form observation?"
"actionSheet_deleteSubmission","Are you sure to remove the submission ? "
"actionSheet_surveyAction","Survey Actions"
"actionSheet_restrictAction","Further you won't be able to do any kind of action."
"actionSheet_view","View"
"actionSheet_pleaseEnterPasscode","Please enter the passcode."
"actionSheet_submit","Submit"
"actionSheet_passcode","Passcode"
"actionSheet_login","Login"
"actionSheet_ecmNotApplicableMessage","Do you want mark ECM as not applicable / not allowed?"
"actionSheet_dataLooseConfirm","All your datas will be lost. Do you want to continue?"
"actionSheet_previousUserName","Please enter previous username."
"actionSheet_sessionExpired","Session has expired. Please login again to continue"
"actionSheet_slowInternet","You are connected to a slower data network. Image upload may take longer time. Do you want to continue?"
"actionSheet_name","Name"
"actionSheet_feedback","Feedback"
"actionSheet_send","Send"
"actionSheet_start","Start"
"actionSheet_warning","WARNING!"
"actionSheet_schoolSurveyEarse","All schools survey data will be erased. This action is irreversable.Do you want to continue?"
"actionSheet_appTermination","App termination"
"actionSheet_appTerminationMessage","Do you want to close the app?"
"actionSheet_closeApp","Close App"
"actionSheet_ecmNotApplicable","ECM Not Applicable"
"actionSheet_ecmNotAllowed","ECM Not Allowed"
"actionSheet_confirmDelete","Confirm Delete"
"actionSheet_addImage","Add Images"
"actionSheet_camera","Camera"
"actionSheet_upload","Upload"
"actionSheet_cancel","Cancel"
"actionSheet_confirmDeleteImage","Do you want to delete this image?"
"actionSheet_confirmDeleteInstance","Do you want to delete this instance?"
"actionSheet_entityDelete","Are you sure you want to delete the entity?"
"actionSheet_yes","Yes"
"actionSheet_ok","Ok"
"actionSheet_no","No"
"actionSheet_uploadImage","Upload Image"
"actionSheet_uploadFile","Upload File"
"actionSheet_publish","Publish"
"actionSheet_chooseAction","Choose a action"
"actionSheet_deleteObservation","Are you sure you want to delete the observation?"
"actionSheet_networkSlowAlert","You are connected to a slower data network. Image upload may take longer time. Do you want to continue?"
"actionSheet_reportWithScore","Report with score"
"actionSheet_reportWithoutScore","Report without score"
"buttons_observeAgain","Observe Again"
"buttons_view","View"
"buttons_and","and"
"buttons_addNew","Add New"
"buttons_viewReport","View Report"
"buttons_draft","Draft"
"buttons_publish","Publish"
"buttons_goToEntities","Go TO Entitites"
"buttons_active","Active"
"buttons_completed","Completed"
"buttons_profile","Profile"
"buttons_ratings","Rate"
"buttons_start","Start"
"buttons_survey","survey"
"buttons_delete","Delete"
"buttons_done","Done"
"buttons_previous","Previous"
"buttons_today","Today"
"buttons_about","About"
"buttons_save","Save"
"buttons_addSchools","Add Schools"
"buttons_next","Next"
"buttons_back","Back"
"buttons_upload","Upload"
"buttons_skip","Skip"
"buttons_submit","Submit"
"buttons_cancel","Cancel"
"buttons_addEntity","Add Entity"
"buttons_send","Send"
"buttons_yes","Yes"
"buttons_no","No"
"buttons_login","Login"
"buttons_flag","Flag"
"buttons_parentInfo","Parent Info"
"buttons_add","Add"
"buttons_parent","Parent"
"buttons_registry","Registry"
"buttons_capture","Capture"
"buttons_refresh","Refresh"
"buttons_feedback","Feedback"
"buttons_update","Update"
"buttons_Leader","School Leader"
"buttons_Teacher","Teacher"
"buttons_saveDraft","Draft"
"buttons_markAsComplete","Mark as completed"
"buttons_preview","Preview"
"buttons_viewReports","View Reports"
"buttons_viewObservationReport","View Observation report"
"buttons_viewEntityReport","View Entity Report"
"buttons_edit","Edit"
"buttons_observation","Observation"
"buttons_loadMore","Load More"
"buttons_selectAll","Select All"
"buttons_undo","Undo"
"tabs_home","Home"
"tabs_view","All"
"tabs_mySchool","My Schools"
"tabs_faqs","FAQs"
"tabs_about","About"
"tabs_questions","Questions"
"tabs_rate","Rate"
"tabs_individual","Individual"
"tabs_institutional","Institutions"
"tabs_observations","Observations"
"tabs_myObservation","My Observation"
"tabs_draftObservation","Draft Observation"
"tabs_addObservation","Add Observation"
"tabs_userRolePage","Roles"
"tabs_dashboard","Dashboard"
"tabs_inProgress","In progress"
"tabs_completed","Completed"
"tabs_setting","Settings"
"headings_zone","Zones"
"headings_state","State"
"headings_lastModified","Last Modefied at"
"headings_district","District"
"headings_entities","Entities"
"headings_userRolePage","Roles"
"headings_dashboard","Dashboard"
"headings_cluster","Cluster"
"headings_myActiveAssessment","My active assessments"
"headings_submissionListPage","Submission List"
"headings_addObservation","Add Observation"
"headings_solutionDetails","Solution Details"
"headings_home","Home"
"headings_observations","Observations"
"headings_myInstitutions","My Institutions"
"headings_mySchool","My Schools"
"headings_faqs","FAQs"
"headings_programList","Program List"
"headings_about","About"
"headings_school","School"
"headings_profile","Profile"
"headings_survey","Survey"
"headings_addSchools","Add Schools"
"headings_surveySections","Survey - Sections"
"headings_evidenceMethods","Evidence Methods"
"headings_sections","Sections"
"headings_questionnaire","Questionnaire"
"headings_feedback","Feedback"
"headings_logout","Logout"
"headings_startDate","Start Date"
"headings_endDate","End Date"
"headings_description","Description"
"headings_criteria","Criteria"
"headings_rate","Rate"
"headings_uplaod","Upload"
"headings_images","Images"
"headings_ratedCriterias","Rated Criterias"
"headings_flagCriteria","Flag Criteria"
"headings_questionMap","Question Map"
"headings_remarks","Remarks"
"headings_editSchoolProfile","Edit School Profile"
"headings_schoolProfile","School Profile"
"headings_surveyEcm","Survey - ECM"
"headings_parentContact","Parent Contacts"
"headings_parentRegistry","Parent Registry"
"headings_schoolLeaderRegistry","School Leader Registry"
"headings_teacherRegistry","Teacher Registry"
"headings_generalQuestions","General Questions"
"headings_individualAssessments","Individual Assessments"
"headings_observationDetails","Observation Details"
"headings_dashboardAssessmentListing","Assessments"
"headings_selectAssessment","Select an Assessment type"
"headings_observationList","Observations List"
"headings_hint","Hint"
"headings_submissionPreview","Submission Preview"
"headings_observationReports","Report"
"headings_observationUpdate","Observation Update"
"headings_notifications","Notifications"
"headings_settings","Settings"
"labels_welcome","Welcome"
"labels_assessments","Assessments"
"labels_goTo","Goto"
"labels_name","Name"
"labels_feedback","Feedback"
"labels_choose","Choose"
"labels_language","Language"
"labels_remarks","Remarks"
"labels_image","Image"
"labels_completed","Completed"
"labels_inprogress","In Progress"
"labels_submitted","Submitted"
"labels_notApplicable","NA"
"labels_readytoPublish","Ready to Publish"
"labels_files","Files"
"labels_languages","Languages"
"labels_totalScore","Total score"
"labels_scoreAchieved","Score achieved"
"labels_totalObservations","Total Observations"
"languages_english","English"
"languages_hindi","हिंदी"
"languages_telugu","తెలుగు"
"languages_malayalam","മലയാളം"
"languages_tamil","தமிழ்"
"languages_kannada","ಕನ್ನಡ"
"languages_gujarati","ગુજરાતી"
"message_noReportsFound","No reports found"
"message_noSubmission","No Submissions"
"message_startSearchSchool","search school"
"message_noSchoolFound","No Schools Found"
"message_searchEntities","Search for entities"
"message_startSearchSolution","Search for solutions"
"message_dontCloseApp","Please don't close the app or go back."
"message_of","of"
"message_noProgram","No Program"
"message_program","Program"
"message_images","Images"
"message_startSearchEntity","Start typing entity name"
"message_uploading","Uploading"
"message_completeObservation","Are you sure you want to mark this observation as complete?"
"message_restrictAction","Further you won't be able to do any kind of action."
"message_noQuestionAvailable"," No questions available"
"message_noDraft","No Drafts"
"message_noEntity","No Entity"
"message_no","No"
"message_noSolutionFound","No Solutions"
"message_noProgramsFound","No Programs found."
"message_deleteObservation","Are you sure you want to delete the observation?"
"message_confirmDeleteObservation","You will not see this observation anymore. Do you wish to delete?"
"message_viewAll","View all"
"message_noUnreadNotifications","You have no new Notifications!"
"message_noObservationfound","No observation found"
"toastMessage_selectSolution","Select a Solution"
"toastMessage_selectObservationType","Select a observation Type"
"toastMessage_networkDisconnected","NetWork Disconnected"
"toastMessage_networkConnected","Network Connected"
"toastMessage_ok","OK"
"toastMessage_allValueAreMandatory","Fill Mandatory Field"
"toastMessage_enableInternet","Please enable your internet connection to continue."
"toastMessage_connectToInternet","Please connect to internet "
"toastMessage_networkConnectionForAction","You need network connection for this action."
"toastMessage_noPermissionToPage","You dont have permission to view this page."
"toastMessage_someThingWentWrong","Something went Wrong."
"toastMessage_someThingWentWrongTryLater","Something went Wrong , Please Try after sometime."
"toastMessage_enableToGetGoogleUrls","Unable to get google urls"
"toastMessage_submissionCompleted","Submission completed successfully"
"toastMessage_errorGettingLoaction","Error in getting location"
"toastMessage_fillAllFields","Please fill all the fields"
"toastMessage_loginAgain","Please login again."
"toastMessage_userNameMisMatch","Username didnot match. Please login again."
"toastMessage_loactionForAction","Location should be turned on for this action."
"toastMessage_questionResponseNotRequiredForCompleteAssessment","This questions response is not required to complete the assessment."